bean_id,acidity,body,sweetness,bitterness,aroma,flavor,aftertaste,total_score,roast_level,flavor_tags,data_source,confidence_score
1.0,8,8,7,3,9,9,8,92,LIGHT,"[80103, 80401, 90101, 70103, 70201]",EXTERNAL_CSV,0.9
2.0,9,9,7,3,9,9,9,95,LIGHT,"[10402, 80103, 20105, 10101, 70202]",EXTERNAL_CSV,0.9
3.0,8,9,7,3,8,8,7,90,LIGHT,"[70201, 70101, 80103]",EXTERNAL_CSV,0.9
4.0,9,8,7,2,9,9,8,93,LIGHT,"[10403, 80104, 20105, 70103, 90201]",EXTERNAL_CSV,0.9
5.0,8,8,7,2,8,9,8,91,LIGHT,"[10403, 80102, 20105, 60304, 10202]",EXTERNAL_CSV,0.9
6.0,8,9,7,4,8,9,8,92,LIGHT,"[70201, 70202, 902, 80103]",EXTERNAL_CSV,0.9
7.0,9,9,6,3,9,9,8,94,LIGHT,"[10402, 10403, 20105, 70102, 70201]",EXTERNAL_CSV,0.9
8.0,9,9,6,3,9,9,9,95,LIGHT,"[10401, 20105, 90202, 70201]",EXTERNAL_CSV,0.9
9.0,9,8,7,3,8,9,7,91,LIGHT,"[10304, 80103, 40104, 20105, 70201, 90202]",EXTERNAL_CSV,0.9
10.0,8,9,6,3,8,9,8,92,LIGHT,"[10404, 20105, 70103, 70201, 10302]",EXTERNAL_CSV,0.9
11.0,8,8,7,4,8,9,8,91,LIGHT,"[902, 80104, 40201, 70201, 701]",EXTERNAL_CSV,0.9
12.0,8,9,7,2,9,9,8,93,LIGHT,"[80104, 20105, 90201, 70103]",EXTERNAL_CSV,0.9
13.0,8,8,7,3,8,8,8,90,LIGHT,"[10308, 80104, 401, 70202, 701]",EXTERNAL_CSV,0.9
14.0,8,9,6,3,8,9,7,91,LIGHT,"[70201, 902, 70103]",EXTERNAL_CSV,0.9
15.0,9,9,6,3,9,9,8,94,LIGHT,"[90202, 20105, 10101, 10103, 70202]",EXTERNAL_CSV,0.9
16.0,8,8,6,6,8,9,8,91,MEDIUM,"[10307, 80103, 40104, 70102, 70202]",EXTERNAL_CSV,0.9
17.0,8,8,7,3,9,9,8,92,LIGHT,"[80103, 70201, 50101, 70103, 90201]",EXTERNAL_CSV,0.9
18.0,9,9,8,3,9,9,8,94,LIGHT,"[10304, 20101, 80103, 80104, 70202]",EXTERNAL_CSV,0.9
19.0,9,9,6,2,9,9,8,94,LIGHT,"[20103, 40104, 20105, 90203, 10302]",EXTERNAL_CSV,0.9
20.0,8,9,7,3,9,9,8,93,LIGHT,"[80103, 20105, 20203, 60301, 70201]",EXTERNAL_CSV,0.9
21.0,9,9,7,3,9,9,8,94,LIGHT,"[10402, 80104, 20105, 70201, 10302]",EXTERNAL_CSV,0.9
22.0,8,8,6,2,9,9,8,92,LIGHT,"[10308, 20101, 20105, 90201, 702]",EXTERNAL_CSV,0.9
23.0,8,8,5,7,8,9,8,91,MEDIUM,"[40104, 70103, 10201, 70202, 50303]",EXTERNAL_CSV,0.9
24.0,9,9,6,3,9,10,9,96,LIGHT,"[10401, 20105, 70201, 70102, 90201]",EXTERNAL_CSV,0.9
25.0,9,9,6,2,9,9,8,94,LIGHT,"[20105, 60302, 10104, 90201, 10202]",EXTERNAL_CSV,0.9
26.0,9,8,6,3,9,9,8,93,LIGHT,"[40104, 20105, 70103, 70201, 90203]",EXTERNAL_CSV,0.9
27.0,9,9,6,3,9,9,8,94,LIGHT,"[10401, 10402, 10404, 40108, 70201]",EXTERNAL_CSV,0.9
28.0,9,9,6,2,9,9,9,95,LIGHT,"[20101, 20105, 80401, 10102, 10201]",EXTERNAL_CSV,0.9
29.0,9,9,6,2,9,9,8,94,LIGHT,"[20201, 20105, 10103, 90201, 10302]",EXTERNAL_CSV,0.9
30.0,8,8,6,3,8,8,8,90,LIGHT,"[90201, 10202, 70101, 70201]",EXTERNAL_CSV,0.9
31.0,9,9,6,2,9,9,9,95,LIGHT,"[30305, 10403, 20105, 10102, 90201]",EXTERNAL_CSV,0.9
32.0,9,9,6,3,9,9,9,95,LIGHT,"[10305, 10401, 20105, 20201, 70201]",EXTERNAL_CSV,0.9
33.0,8,9,7,3,9,9,8,93,LIGHT,"[80101, 20105, 70201, 10202, 90203]",EXTERNAL_CSV,0.9
34.0,8,8,6,7,9,9,7,91,MEDIUM,"[80102, 40104, 70202, 10302, 50303]",EXTERNAL_CSV,0.9
35.0,8,9,7,3,8,9,8,92,LIGHT,"[70201, 80103, 20201, 70103]",EXTERNAL_CSV,0.9
36.0,9,9,6,3,9,9,8,94,LIGHT,"[20105, 70202, 10403, 10102]",EXTERNAL_CSV,0.9
37.0,8,9,8,2,9,9,8,93,LIGHT,"[20101, 80102, 80104, 20105, 70102]",EXTERNAL_CSV,0.9
38.0,9,8,7,4,9,9,8,93,LIGHT,"[902, 80103, 70202, 70201, 10202]",EXTERNAL_CSV,0.9
39.0,9,9,6,3,9,9,8,94,LIGHT,"[10305, 20105, 40202, 60301, 70202]",EXTERNAL_CSV,0.9
40.0,8,8,7,2,9,9,8,92,LIGHT,"[10401, 10307, 80101, 70102]",EXTERNAL_CSV,0.9
41.0,9,9,8,3,9,10,9,96,LIGHT,"[70201, 80103, 20201, 801]",EXTERNAL_CSV,0.9
42.0,8,8,6,2,9,9,8,92,LIGHT,"[10403, 104, 20105, 10104, 90202]",EXTERNAL_CSV,0.9
43.0,8,8,7,2,9,9,8,92,LIGHT,"[80104, 20201, 20203, 10301, 10303]",EXTERNAL_CSV,0.9
44.0,8,9,7,3,9,9,8,93,LIGHT,"[70201, 10305, 80103, 60303]",EXTERNAL_CSV,0.9
45.0,7,9,3,10,8,9,7,90,HEAVY,"[40104, 40201, 40107, 80301, 80401, 10201, 70202]",EXTERNAL_CSV,0.9
46.0,8,9,7,4,9,9,8,93,LIGHT,"[10307, 40104, 80104, 60302, 70201, 70202]",EXTERNAL_CSV,0.9
47.0,8,9,7,3,9,9,8,93,LIGHT,"[20105, 80103, 10101, 70201]",EXTERNAL_CSV,0.9
48.0,8,9,8,2,9,9,8,93,LIGHT,"[10304, 80101, 80103, 70103, 90201]",EXTERNAL_CSV,0.9
49.0,9,9,7,3,9,9,9,95,LIGHT,"[10304, 803, 20103, 20201, 20105, 70202]",EXTERNAL_CSV,0.9
50.0,9,8,7,3,9,9,8,93,LIGHT,"[80104, 70201, 10102, 90201]",EXTERNAL_CSV,0.9
51.0,8,8,6,3,8,9,8,91,LIGHT,"[90201, 10404, 40104, 60303, 70201]",EXTERNAL_CSV,0.9
52.0,8,9,7,2,9,9,8,93,LIGHT,"[30305, 80104, 20105, 90202, 90203]",EXTERNAL_CSV,0.9
53.0,8,9,7,2,9,9,8,93,LIGHT,"[30305, 20105, 80103, 10103]",EXTERNAL_CSV,0.9
54.0,8,9,6,3,9,9,8,93,LIGHT,"[30305, 20105, 80401, 70202, 10202]",EXTERNAL_CSV,0.9
55.0,9,8,7,3,9,9,8,93,LIGHT,"[80103, 20105, 90201, 70202, 10303]",EXTERNAL_CSV,0.9
56.0,8,8,6,2,9,9,9,93,LIGHT,"[10402, 20105, 70102, 90201, 90202]",EXTERNAL_CSV,0.9
57.0,8,8,6,2,8,9,7,90,LIGHT,"[40104, 20105, 10402, 10303]",EXTERNAL_CSV,0.9
58.0,9,9,6,3,9,10,9,96,LIGHT,"[70201, 20105, 10303]",EXTERNAL_CSV,0.9
59.0,9,8,7,3,9,9,8,93,LIGHT,"[80104, 20105, 70201, 70102, 90201]",EXTERNAL_CSV,0.9
60.0,9,9,8,3,9,9,8,94,LIGHT,"[80103, 80104, 20105, 60304, 90201, 70202]",EXTERNAL_CSV,0.9
61.0,8,8,9,2,9,9,8,92,LIGHT,"[801, 10402, 80101, 80104, 70102, 90102]",EXTERNAL_CSV,0.9
62.0,9,9,7,4,9,9,8,94,LIGHT,"[10403, 80103, 60303, 70201, 70202]",EXTERNAL_CSV,0.9
63.0,9,9,6,2,9,9,9,95,LIGHT,"[10304, 20103, 104, 20105, 10301]",EXTERNAL_CSV,0.9
64.0,8,8,7,2,9,9,8,92,LIGHT,"[30305, 20105, 80103, 10303]",EXTERNAL_CSV,0.9
65.0,9,9,6,3,9,9,9,95,LIGHT,"[20105, 10101, 70102, 10201, 70202]",EXTERNAL_CSV,0.9
66.0,9,9,7,2,9,9,9,95,LIGHT,"[30305, 10403, 80102, 104, 90203]",EXTERNAL_CSV,0.9
67.0,9,9,6,3,9,9,9,95,LIGHT,"[20105, 602, 70103, 70201, 10202]",EXTERNAL_CSV,0.9
68.0,8,9,7,3,9,9,8,93,LIGHT,"[80104, 70202, 40104, 10103]",EXTERNAL_CSV,0.9
69.0,9,9,6,3,9,9,9,95,LIGHT,"[10403, 20105, 20201, 70201, 10302]",EXTERNAL_CSV,0.9
70.0,9,9,7,2,9,9,8,94,LIGHT,"[10304, 20105, 10403, 80101]",EXTERNAL_CSV,0.9
71.0,9,9,7,3,9,9,9,95,LIGHT,"[80103, 20105, 10101, 70103, 70201]",EXTERNAL_CSV,0.9
